date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:52	13947/13947	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2015:00:54%20GMT	http://niehorster.org/011_germany/__ge_index.htm	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/__ge_index.html	(from )
16:53:52	85/85	U-----	200	untouched ('OK')	text/plain	date:Sat,%2019%20Dec%202015%2014:59:50%20GMT	http://niehorster.org/robots.txt		(from )
16:53:52	3021/3021	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202020%2014:05:17%20GMT	http://niehorster.org/011_germany/39-oob/_39-oob.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/39-oob/_39-oob.1.delayed	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:53	217/217	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:05%20GMT	http://niehorster.org/010_pix/buttons_small/901_home.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/901_home.gif	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:53	3040/3040	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202020%2014:05:36%20GMT	http://niehorster.org/011_germany/39-oob/navy/_okm.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/39-oob/navy/_okm.html	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:53	4405/4405	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202020%2009:30:09%20GMT	http://niehorster.org/011_germany/41-oob/_41-oob.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/41-oob/_41-oob.html	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:54	3442/3442	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jul%202020%2014:11:57%20GMT	http://niehorster.org/011_germany/41-oob/luftwaffe/__okl.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/41-oob/luftwaffe/__okl.html	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:54	3532/3532	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Oct%202018%2007:20:38%20GMT	http://niehorster.org/011_germany/42-oob/42-06-28_blau/_42-06-28_blau.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/42-oob/42-06-28_blau/_42-06-28_blau.html	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:54	3204/3204	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202015%2010:44:09%20GMT	http://niehorster.org/011_germany/42-oob/42-06-28_blau/Luftwaffe/__okl.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/42-oob/42-06-28_blau/Luftwaffe/__okl.html	(from http://niehorster.org/011_germany/__ge_index.htm)
16:53:55	3870/3870	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2013:35:12%20GMT	http://niehorster.org/011_germany/38-oob/_08_army.html	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/011_germany/38-oob/_08_army.html	(from http://niehorster.org/011_germany/__ge_index.htm)
