date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:10	85/85	U-----	200	untouched ('OK')	text/plain	date:Sat,%2019%20Dec%202015%2014:59:50%20GMT	http://niehorster.org/robots.txt		(from )
16:53:10	14696/14696	U-----	200	untouched ('OK')	text/html	date:Mon,%2002%20Nov%202020%2013:43:10%20GMT	http://niehorster.org/000_admin/000oob.htm	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/000_admin/000oob.html	(from )
16:53:11	217/217	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:05%20GMT	http://niehorster.org/010_pix/buttons_small/901_home.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/901_home.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:11	296/296	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:20%20GMT	http://niehorster.org/010_pix/buttons_small/990_afghanistan.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_afghanistan.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:11	260/260	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:22%20GMT	http://niehorster.org/010_pix/buttons_small/990_burma.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_burma.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:11	266/266	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:24%20GMT	http://niehorster.org/010_pix/buttons_small/990_estonia.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_estonia.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:11	260/260	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:26%20GMT	http://niehorster.org/010_pix/buttons_small/990_india.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_india.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:12	279/279	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:28%20GMT	http://niehorster.org/010_pix/buttons_small/990_lithuania.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_lithuania.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:12	277/277	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:30%20GMT	http://niehorster.org/010_pix/buttons_small/990_solvakia.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_solvakia.gif	(from http://niehorster.org/000_admin/000oob.htm)
16:53:12	269/269	U-----	200	untouched ('')	image/gif	date:Fri,%2027%20Feb%202015%2008:46:32%20GMT	http://niehorster.org/010_pix/buttons_small/990_ussr.gif	F:/Projects/ExtractNiehorster/niehorster/german/niehorster.org/010_pix/buttons_small/990_ussr.gif	(from http://niehorster.org/000_admin/000oob.htm)
